#meet.littlepuffinbrowser.thesniper
#./workspace/meet.littlepuffinbrowser.thesniper_0/meet.littlepuffinbrowser.thesniper.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 08:22:08.443348,908,299,857,1785,1147,0,0,0,4815897,3778,638748,966,R,14470,0,192,0,29,13,0,0,67,3466231808,43671,1,860069,53756,40020,5,0
2023-01-09 08:22:08.710875,916,299,859,1785,1147,0,0,0,4817607,3798,642815,990,S,21630,1675,210,0,37,17,1,1,92,3522842624,53756,1,864313,58044,42655,5,0
2023-01-09 08:22:08.971362,923,300,861,1785,1147,0,0,0,4820295,3831,650139,1024,S,26733,1675,225,0,50,21,1,1,95,3540226048,57912,1,863706,58393,43395,5,0
2023-01-09 08:22:09.241832,930,301,865,1785,1147,0,0,0,4821541,3846,652568,1041,S,27183,1675,231,0,53,22,1,1,94,3537739776,58393,1,863706,58393,43395,5,0
2023-01-09 08:22:09.502334,935,306,871,1785,1149,0,0,0,4824755,3885,658387,1083,S,28192,1675,235,0,54,22,1,1,95,3543023616,59297,1,864996,59338,43484,5,0
2023-01-09 08:22:09.763023,939,309,877,1785,1150,0,0,0,4827287,3916,663446,1118,S,28303,1675,240,0,55,22,1,1,96,3544113152,58552,1,865858,58833,43737,5,0
2023-01-09 08:22:10.008424,944,312,887,1787,1166,0,0,0,4829573,3944,667971,1146,S,28371,1675,248,0,55,22,1,1,97,3546554368,58833,1,865584,58834,43737,5,0
2023-01-09 08:22:10.279411,956,318,903,1788,1176,0,0,0,4832643,3982,673300,1184,S,29543,1675,249,0,69,22,1,1,96,3548581888,59813,1,866353,59644,44542,5,0
2023-01-09 08:22:10.545424,982,320,909,1788,1176,0,0,0,4834793,4008,677919,1213,S,29902,1675,249,0,78,22,1,1,96,3548581888,59644,1,866353,59645,44542,5,0
2023-01-09 08:22:10.805728,1000,322,918,1788,1176,0,0,0,4836971,4034,682469,1241,S,29969,1675,249,0,79,22,1,1,96,3548581888,59645,1,866353,59662,44558,5,0
2023-01-09 08:22:11.066178,1009,330,924,1803,1183,0,0,0,4839701,4068,687199,1271,S,30018,1675,249,0,80,22,1,1,96,3548581888,59662,1,866353,59662,44558,5,0
2023-01-09 08:22:11.336996,1023,331,928,1833,1184,0,0,0,4842455,4102,692397,1307,S,30177,1675,250,0,81,22,1,1,96,3548581888,59695,0,866353,59695,44590,5,0
2023-01-09 08:22:11.602087,1039,331,930,1856,1184,0,0,0,4845209,4136,697397,1340,S,30189,1675,250,0,81,22,1,1,96,3548581888,59695,0,866353,59695,44590,5,0
2023-01-09 08:22:11.877322,1041,331,932,1907,1184,0,0,0,4848293,4175,702332,1372,S,30228,1675,251,0,81,22,1,1,96,3548581888,59711,1,866353,59711,44606,5,0
2023-01-09 08:22:12.134541,1043,331,933,1948,1184,0,0,0,4850825,4206,707219,1404,S,30278,1675,251,0,81,22,1,1,96,3548581888,59711,1,866353,59711,44606,5,0
2023-01-09 08:22:12.394889,1046,331,935,1992,1184,0,0,0,4853357,4237,712082,1436,S,30469,1675,251,0,82,22,1,1,96,3548844032,59773,1,866417,59773,44606,5,0
2023-01-09 08:22:12.645194,1050,332,937,2033,1184,0,0,0,4856375,4275,716995,1468,S,30470,1675,251,0,82,22,1,1,96,3548844032,59735,0,866417,59735,44606,5,0
2023-01-09 08:22:12.915739,1055,333,939,2080,1184,0,0,0,4859327,4312,722058,1503,S,30486,1675,251,0,83,22,1,1,96,3548844032,59735,1,866417,59735,44606,5,0
2023-01-09 08:22:13.189031,1059,333,941,2125,1184,0,0,0,4862213,4348,727100,1537,R,30500,1675,251,0,83,22,1,1,96,3548844032,59735,1,866417,59772,44625,5,0
2023-01-09 08:22:13.449438,1061,333,944,2166,1188,0,0,0,4865033,4383,732097,1571,S,30515,1675,251,0,83,22,1,1,96,3548844032,59772,1,866417,59772,44625,5,0
