#net.mudokorea.hjtkdmudo114kr
#./workspace/net.mudokorea.hjtkdmudo114kr_0/net.mudokorea.hjtkdmudo114kr.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 01:36:31.499988,728,275,790,1908,1187,0,0,0,652184,993,645879,879,S,17457,0,194,0,27,10,0,0,43,3393589248,52175,0,830959,54568,38802,5,0
2023-01-09 01:36:31.775780,733,275,792,1908,1187,0,0,0,653620,1010,648197,894,S,18985,0,196,0,34,11,0,0,44,3400654848,53633,1,830959,54568,38802,5,0
2023-01-09 01:36:32.036312,745,277,795,1908,1187,0,0,0,656606,1046,653593,932,S,19739,0,197,0,36,12,0,0,44,3403608064,54568,1,831281,54448,39114,5,0
2023-01-09 01:36:32.297914,747,278,799,1908,1187,0,0,0,658600,1070,658089,960,S,19766,0,204,0,36,12,0,0,44,3404926976,54448,1,831281,54448,39114,5,0
2023-01-09 01:36:32.553339,753,281,807,1908,1191,0,0,0,661000,1099,662945,992,S,19768,0,204,0,36,12,0,0,44,3404926976,54448,1,831281,53728,39114,5,0
2023-01-09 01:36:32.827474,762,284,818,1917,1202,0,0,0,664336,1140,670155,1036,S,19786,0,205,0,36,13,0,0,44,3404926976,53909,0,831281,53909,39250,5,0
2023-01-09 01:36:33.083872,763,288,820,1921,1203,0,0,0,666958,1172,675091,1067,S,19790,0,205,0,36,13,0,0,44,3404926976,53909,0,831281,53909,39250,5,0
2023-01-09 01:36:33.343677,767,290,823,1951,1203,0,0,0,669688,1206,679840,1097,S,19798,0,205,0,36,13,0,0,44,3404926976,53909,1,831281,53909,39250,5,0
2023-01-09 01:36:33.604190,769,290,824,1993,1204,0,0,0,672550,1242,684657,1128,S,19799,0,205,0,36,13,0,0,44,3404926976,53909,0,831281,53909,39250,5,0
2023-01-09 01:36:33.854340,771,290,826,2030,1204,0,0,0,675502,1279,689783,1163,D,19821,0,205,0,36,13,0,0,44,3404926976,53909,0,832034,54647,39283,5,0
