#nikosoft.Tripeaks
#./workspace/nikosoft.Tripeaks_0/nikosoft.Tripeaks.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 04:04:16.723521,913,302,869,1782,1115,0,0,0,2426063,2043,660424,849,S,11738,0,141,0,20,5,0,0,14,1162440704,35165,1,283801,35165,23447,5,0
2023-01-09 04:04:16.993560,924,304,871,1782,1115,0,0,0,2428775,2076,668277,888,S,11750,0,141,0,22,5,0,0,14,1162448896,35165,1,283804,35165,23447,5,0
2023-01-09 04:04:17.268805,933,305,873,1782,1115,0,0,0,2430731,2099,672823,914,S,11757,0,141,0,28,5,0,0,14,1162461184,35165,1,283807,35165,23447,5,0
2023-01-09 04:04:17.524529,938,306,877,1782,1115,0,0,0,2432791,2124,677366,942,S,11766,0,142,0,33,6,0,0,14,1162473472,35165,1,283287,37454,26228,5,0
2023-01-09 04:04:17.782506,952,309,882,1782,1115,0,0,0,2437151,2176,687283,997,S,14152,0,234,0,40,8,0,0,14,1167749120,38872,1,285095,38866,26228,5,0
2023-01-09 04:04:18.053079,953,309,882,1782,1115,0,0,0,2436188,2165,684481,985,D,14140,0,232,0,40,8,0,0,14,1167749120,38872,1,285095,38866,26228,5,0
2023-01-09 04:04:18.297644,964,311,886,1782,1115,0,0,0,2440057,2212,692801,1034,S,14286,0,234,0,48,9,0,0,14,1167769600,38793,1,285233,38924,26228,5,0
2023-01-09 04:04:18.557006,967,313,887,1782,1115,0,0,0,2441857,2233,697207,1061,S,14433,0,234,0,58,12,0,0,14,1168322560,39213,1,285241,39278,26495,5,0
2023-01-09 04:04:18.820440,973,316,891,1782,1115,0,0,0,2444101,2260,701775,1089,S,15237,0,234,0,70,14,0,0,14,1171316736,40004,1,286692,40730,27892,5,0
2023-01-09 04:04:19.079351,983,317,894,1797,1115,0,0,0,2446477,2289,706542,1120,S,15973,0,235,0,93,15,0,0,14,1174315008,40730,1,287422,41456,28611,5,0
2023-01-09 04:04:19.360240,998,317,896,1804,1115,0,0,0,2449207,2323,711358,1151,S,16696,0,235,0,110,15,0,0,14,1177280512,41456,1,287422,41456,28611,5,0
2023-01-09 04:04:19.620842,1013,317,899,1809,1115,0,0,0,2451715,2354,716132,1182,S,16720,0,235,0,131,16,0,0,14,1177280512,41456,1,287425,41422,28655,5,0
2023-01-09 04:04:19.871631,1029,317,901,1814,1115,0,0,0,2453869,2380,720788,1212,S,16736,0,235,0,147,17,0,0,14,1177292800,41422,1,287425,41422,28655,5,0
2023-01-09 04:04:20.137355,1045,318,904,1819,1115,0,0,0,2455981,2405,726769,1246,S,16939,0,249,0,163,20,0,0,14,1177427968,42632,1,287458,42632,29784,5,0
2023-01-09 04:04:20.387611,1072,320,909,1821,1115,0,0,0,2459165,2444,733593,1288,S,17036,0,253,0,177,21,0,0,15,1178509312,42832,1,287724,42702,29963,5,0
2023-01-09 04:04:20.653181,1111,321,913,1822,1115,0,0,0,2461409,2471,738177,1317,S,17041,0,253,0,187,21,0,0,15,1178517504,42702,1,287724,42624,29963,5,0
2023-01-09 04:04:20.893750,1129,321,916,1824,1115,0,0,0,2463181,2492,741193,1340,S,17047,0,253,0,195,21,0,0,15,1178517504,42624,1,287727,42759,29963,5,0
2023-01-09 04:04:21.165437,1168,322,920,1831,1115,0,0,0,2465675,2522,745964,1371,S,17466,0,253,0,208,21,0,0,15,1178529792,42772,0,287727,42772,29964,5,0
2023-01-09 04:04:21.422446,1197,322,923,1833,1115,0,0,0,2467603,2545,750464,1399,S,17466,0,253,0,221,22,0,0,15,1178529792,42772,0,287727,42772,29964,5,0
2023-01-09 04:04:21.698100,1216,322,926,1835,1116,0,0,0,2469781,2571,755037,1427,S,17466,0,253,0,227,23,0,0,15,1178529792,42772,0,287727,42772,29964,5,0
2023-01-09 04:04:21.953152,1251,323,931,1837,1116,0,0,0,2472403,2603,759874,1459,S,17466,0,253,0,245,24,0,0,15,1178529792,42772,0,287791,43560,30748,5,0
