#org.davidliebman.android.awesomewifi
#./workspace/org.davidliebman.android.awesomewifi_0/org.davidliebman.android.awesomewifi.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 03:12:24.708303,931,332,857,1908,1054,0,0,0,138972,652,632509,830,S,3111,0,4,0,1,3,0,0,14,3289006080,26055,1,802980,26055,21453,5,0
2023-01-09 03:12:24.979219,940,332,860,1914,1054,0,0,0,141750,686,638939,867,S,4552,0,4,0,2,4,0,0,14,3294912512,27588,1,804422,27588,22971,5,0
2023-01-09 03:12:25.253323,953,333,863,1918,1054,0,0,0,144126,715,643610,897,S,4552,0,4,0,2,4,0,0,14,3294912512,27588,1,804712,27954,23265,5,0
2023-01-09 03:12:25.509420,961,338,867,1923,1055,0,0,0,146658,746,648564,929,S,4688,0,5,0,3,4,0,0,15,3296100352,27954,0,804712,27954,23265,5,0
2023-01-09 03:12:25.782528,965,339,869,1945,1056,0,0,0,149214,777,653729,965,S,4693,0,5,0,3,4,0,0,15,3296100352,27954,0,804712,28067,23354,5,0
2023-01-09 03:12:26.037669,967,339,870,1988,1056,0,0,0,152100,813,658696,998,S,4705,0,5,0,4,4,0,0,15,3296100352,28067,1,804712,28067,23354,5,0
2023-01-09 03:12:26.308735,978,340,873,2012,1058,0,0,0,154632,844,664917,1035,S,4785,0,7,0,5,4,0,0,16,3297292288,28205,0,804986,28715,23850,5,0
2023-01-09 03:12:26.564261,1000,342,878,2016,1058,0,0,0,157327,877,669761,1067,S,5326,0,12,0,7,4,0,0,16,3297685504,28749,1,805099,28749,23882,5,0
2023-01-09 03:12:26.814630,1025,343,881,2021,1058,0,0,0,160033,911,674461,1097,S,5335,0,12,0,8,4,0,0,16,3297685504,28749,1,805099,28830,23944,5,0
2023-01-09 03:12:27.090164,1049,343,885,2031,1058,0,0,0,162565,942,679229,1128,R,5547,0,12,0,10,4,0,0,16,3297685504,28830,0,805116,28850,23961,5,0
2023-01-09 03:12:27.355660,1075,344,889,2036,1058,0,0,0,164899,970,684062,1160,S,5567,0,12,0,12,4,0,0,16,3297755136,28850,0,805116,28850,23961,5,0
2023-01-09 03:12:27.603644,1087,344,892,2067,1058,0,0,0,167455,1001,689033,1193,S,5626,0,12,0,13,4,0,0,16,3297755136,28850,0,805116,28850,23961,5,0
2023-01-09 03:12:27.869011,1091,345,895,2108,1058,0,0,0,170275,1036,694425,1231,S,5662,0,12,0,13,5,0,0,16,3297755136,28850,1,805116,28850,23961,5,0
2023-01-09 03:12:28.124328,1094,345,897,2152,1058,0,0,0,172741,1066,699523,1266,S,5663,0,12,0,13,5,0,0,16,3297755136,28850,0,805116,28850,23961,5,0
2023-01-09 03:12:28.384849,1101,347,903,2180,1060,0,0,0,175429,1099,705105,1303,S,5670,0,12,0,13,5,0,0,16,3297886208,28850,1,805148,28850,23961,5,0
2023-01-09 03:12:28.645298,1105,348,905,2222,1060,0,0,0,178117,1132,710801,1341,S,5699,0,12,0,14,5,0,0,16,3297886208,28866,0,805148,28866,23977,5,0
2023-01-09 03:12:28.910734,1110,348,907,2267,1060,0,0,0,180847,1166,717250,1380,S,5700,0,12,0,14,5,0,0,16,3297886208,28866,1,805148,28866,23977,5,0
2023-01-09 03:12:29.177952,1113,349,908,2311,1060,0,0,0,183709,1202,722659,1415,S,5700,0,12,0,15,5,0,0,16,3297886208,28866,1,805148,28866,23977,5,0
2023-01-09 03:12:29.439435,1138,350,913,2327,1060,0,0,0,186241,1233,727542,1447,S,5702,0,12,0,15,5,0,0,16,3297886208,28866,1,805148,28866,23977,5,0
2023-01-09 03:12:29.684360,1142,350,914,2363,1060,0,0,0,189061,1268,732473,1479,S,5703,0,12,0,15,5,0,0,16,3297886208,28866,0,805148,28866,23977,5,0
2023-01-09 03:12:29.949868,1145,350,916,2409,1060,0,0,0,192079,1306,738879,1518,S,5703,0,12,0,16,5,0,0,16,3297886208,28866,0,805148,28866,23977,5,0
2023-01-09 03:12:30.220446,1152,355,920,2440,1061,0,0,0,194965,1342,744050,1554,S,5718,0,12,0,16,5,0,0,16,3297886208,28866,1,805148,28866,23977,5,0
2023-01-09 03:12:30.476244,1164,356,924,2450,1062,0,0,0,197605,1375,748597,1582,S,5724,0,12,0,16,6,0,0,16,3297886208,28866,1,805148,28866,23977,5,0
2023-01-09 03:12:30.746681,1175,356,927,2458,1062,0,0,0,200339,1409,753054,1609,S,5768,0,12,0,17,6,0,0,16,3297886208,28866,1,805227,28990,24068,5,0
2023-01-09 03:12:31.002296,1184,356,929,2463,1062,0,0,0,202309,1433,757193,1632,S,5776,0,12,0,17,6,0,0,16,3297886208,28866,1,805131,28945,24022,5,0
2023-01-09 03:12:31.263326,1215,357,934,2468,1062,0,0,0,205039,1467,762190,1666,S,6065,0,12,0,19,6,0,0,16,3297816576,28945,1,805131,28993,24069,5,0
2023-01-09 03:12:31.530323,1239,362,938,2471,1062,0,0,0,207373,1495,766983,1697,S,6093,0,12,0,19,7,0,0,16,3297816576,28993,0,805131,28993,24069,5,0
2023-01-09 03:12:31.796076,1243,362,940,2505,1062,0,0,0,210391,1533,771980,1730,S,6113,0,12,0,19,7,0,0,16,3297886208,28993,1,805148,28993,24069,5,0
2023-01-09 03:12:32.051371,1249,363,941,2545,1062,0,0,0,213145,1567,778188,1766,S,6113,0,12,0,20,7,0,0,16,3297886208,28993,1,805227,29058,24117,5,0
2023-01-09 03:12:32.317407,1273,364,945,2574,1062,0,0,0,215941,1602,783113,1799,S,6409,0,12,0,21,7,0,0,16,3297816576,29044,1,805131,29044,24101,5,0
2023-01-09 03:12:32.578393,1290,364,949,2578,1064,0,0,0,218053,1627,787726,1828,S,6409,0,12,0,21,7,0,0,16,3297816576,29044,0,805131,29044,24101,5,0
2023-01-09 03:12:32.833696,1301,365,952,2615,1064,0,0,0,220873,1662,792855,1863,S,6526,0,12,0,21,8,0,0,16,3298070528,29136,1,805131,29059,24101,5,0
2023-01-09 03:12:33.089200,1324,365,957,2626,1064,0,0,0,223183,1690,797468,1892,S,6628,0,12,0,23,8,0,0,16,3297816576,29059,0,805272,29277,24305,5,0
