#sk.jfox.weather.cuba_calimete
#./workspace/sk.jfox.weather.cuba_calimete_0/sk.jfox.weather.cuba_calimete.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 06:38:42.879795,904,326,931,1700,1152,0,0,0,832389,896,653572,752,S,15664,1499,167,18,52,12,0,1,38,3376672768,49465,0,825785,50833,37966,5,0
2023-01-09 06:38:43.150681,914,327,934,1700,1152,0,0,0,835630,935,660280,793,S,18286,1499,206,18,65,17,0,1,41,3387371520,53057,1,826995,53076,39350,5,0
2023-01-09 06:38:43.416348,919,328,938,1700,1152,0,0,0,836655,947,662464,807,S,18488,1499,206,18,71,18,0,1,41,3387371520,53076,1,826995,53076,39350,5,0
2023-01-09 06:38:43.666517,929,329,941,1700,1152,0,0,0,839797,985,670360,846,S,18531,1499,206,18,79,20,0,1,41,3387371520,53013,1,827514,53593,39548,5,0
2023-01-09 06:38:43.931056,936,329,944,1700,1152,0,0,0,841545,1006,673232,868,R,19221,1499,212,18,89,21,0,1,41,3390554112,53593,1,829407,54900,39755,5,0
2023-01-09 06:38:44.196494,955,331,948,1702,1153,0,0,0,844281,1039,678441,903,S,20408,1499,220,18,119,21,0,1,43,3397259264,54900,1,829409,54900,39755,5,0
2023-01-09 06:38:44.451930,978,333,953,1705,1153,0,0,0,846969,1072,683573,938,S,20410,1499,221,18,129,21,0,1,43,3397259264,54900,1,829409,54900,39755,5,0
2023-01-09 06:38:44.719302,1003,335,957,1706,1153,0,0,0,849949,1109,688412,970,S,20414,1499,221,18,147,21,0,1,43,3397259264,54820,1,829409,54639,39855,5,0
2023-01-09 06:38:44.974822,1032,337,962,1710,1153,0,0,0,851943,1133,692873,997,S,20537,1499,221,18,168,21,0,1,43,3397259264,54639,1,829409,54638,39855,5,0
2023-01-09 06:38:45.240342,1060,338,967,1711,1154,0,0,0,854215,1160,697400,1025,S,20569,1499,221,18,185,21,0,1,43,3397259264,54638,1,829409,54384,39859,5,0
2023-01-09 06:38:45.480305,1091,339,970,1714,1154,0,0,0,856521,1188,702197,1056,S,20585,1499,221,18,202,21,0,1,43,3397259264,54384,0,829409,54346,39859,5,0
2023-01-09 06:38:45.756193,1116,339,974,1729,1154,0,0,0,859095,1220,707082,1089,S,20588,1499,221,18,209,22,0,1,43,3397214208,54276,1,829398,54251,39849,5,0
2023-01-09 06:38:46.006370,1144,339,979,1735,1154,0,0,0,861051,1243,711544,1116,S,20611,1499,221,18,220,22,0,1,43,3397214208,54251,0,829398,54251,39849,5,0
2023-01-09 06:38:46.271910,1165,340,983,1744,1154,0,0,0,863649,1275,716318,1147,S,20638,1499,221,18,225,23,0,1,43,3397214208,54251,1,829398,54251,39849,5,0
2023-01-09 06:38:46.533467,1190,340,987,1755,1154,0,0,0,865992,1303,720973,1176,S,20701,1499,221,18,232,24,0,1,43,3397214208,54144,0,829398,54143,39849,5,0
2023-01-09 06:38:46.800420,1216,341,993,1767,1155,0,0,0,868476,1334,725568,1205,S,20790,1499,221,18,237,25,0,1,43,3397214208,54113,0,829398,54055,39865,5,0
2023-01-09 06:38:47.042942,1236,341,996,1783,1155,0,0,0,870432,1357,730073,1233,S,20792,1499,221,18,240,25,0,1,43,3397214208,54055,0,829398,54036,39865,5,0
2023-01-09 06:38:47.318517,1259,341,1000,1800,1155,0,0,0,873360,1394,735371,1270,S,20792,1499,221,18,244,26,0,1,43,3397214208,54036,0,829398,54036,39865,5,0
2023-01-09 06:38:47.572726,1279,341,1003,1816,1155,0,0,0,876180,1429,740417,1304,S,20794,1499,221,18,253,27,0,1,43,3397214208,54035,0,829398,54035,39865,5,0
2023-01-09 06:38:47.865695,1313,342,1008,1827,1156,0,0,0,878688,1460,746150,1339,R,20794,1499,221,18,268,28,0,1,43,3397214208,54035,0,829398,54035,39865,5,0
2023-01-09 06:38:48.126849,1335,342,1012,1837,1156,0,0,0,881574,1496,751673,1375,R,20798,1499,221,18,281,31,0,1,43,3397214208,54035,0,829398,54035,39865,5,0
2023-01-09 06:38:48.393163,1351,342,1015,1842,1156,0,0,0,884040,1526,757642,1408,S,20800,1499,221,18,292,32,0,1,43,3397214208,54035,1,829398,54035,39865,5,0
2023-01-09 06:38:48.654944,1362,342,1018,1855,1157,0,0,0,886374,1554,762664,1442,S,20817,1499,221,18,296,34,0,1,43,3397214208,54036,0,829398,54036,39865,5,0
2023-01-09 06:38:48.899609,1372,342,1020,1870,1157,0,0,0,889003,1586,767698,1476,S,20819,1499,221,18,300,34,0,1,43,3397214208,54036,1,829398,54036,39865,5,0
2023-01-09 06:38:49.170223,1384,343,1025,1889,1158,0,0,0,891535,1617,772630,1509,S,20841,1499,226,18,305,35,0,1,43,3397214208,54117,0,829398,54117,39920,5,0
2023-01-09 06:38:49.430679,1391,349,1028,1902,1161,0,0,0,894067,1648,778749,1545,S,20938,1499,226,18,309,35,0,1,43,3397214208,54138,1,829398,54138,39952,5,0
2023-01-09 06:38:49.684045,1404,350,1030,1906,1161,0,0,0,896509,1678,783345,1574,S,20939,1499,226,18,312,35,0,1,43,3397214208,54138,0,829398,54138,39952,5,0
2023-01-09 06:38:49.933071,1416,350,1032,1909,1161,0,0,0,899065,1709,788391,1608,S,20942,1499,226,18,317,37,0,1,43,3397214208,54138,1,829398,54138,39952,5,0
2023-01-09 06:38:50.212817,1428,350,1035,1917,1161,0,0,0,901441,1738,792879,1635,S,20942,1499,226,18,320,37,0,1,43,3397214208,54138,1,829398,54112,39952,5,0
2023-01-09 06:38:50.474307,1448,350,1039,1922,1161,0,0,0,903817,1767,797721,1667,S,20987,1499,226,18,340,39,0,1,43,3397214208,54112,1,829398,54112,39952,5,0
2023-01-09 06:38:50.740655,1487,350,1045,1927,1161,0,0,0,906944,1805,804283,1706,S,21099,1499,226,18,369,41,0,1,43,3397214208,54112,1,829398,54108,39952,5,0
2023-01-09 06:38:50.995958,1507,350,1048,1928,1161,0,0,0,909344,1834,808903,1735,S,21189,1499,226,18,386,42,0,1,43,3397214208,54108,1,829398,54108,39952,5,0
2023-01-09 06:38:51.261419,1536,351,1052,1929,1161,0,0,0,910681,1850,811539,1753,S,21196,1499,226,18,397,42,0,1,43,3397214208,54108,1,829398,54190,39982,5,0
2023-01-09 06:38:51.511651,1569,351,1056,1933,1161,0,0,0,913487,1884,817797,1790,S,21361,1499,226,18,423,43,0,1,43,3397214208,54222,1,829398,54253,40014,5,0
2023-01-09 06:38:51.780498,1598,351,1060,1935,1161,0,0,0,915665,1910,823641,1820,S,21424,1499,226,18,441,44,0,1,43,3397214208,54253,0,829398,54253,40014,5,0
2023-01-09 06:38:52.046255,1632,351,1064,1937,1161,0,0,0,917777,1935,826883,1846,S,21434,1499,226,18,461,45,0,1,43,3397214208,54251,1,829398,54251,40014,5,0
2023-01-09 06:38:52.301589,1673,351,1069,1938,1161,0,0,0,920531,1969,833135,1881,S,21461,1499,226,18,491,48,0,1,43,3397214208,54251,1,829398,54250,40030,5,0
