#youtube.downloader.official11
#./workspace/youtube.downloader.official11_0/app789.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2022-11-23 16:08:29.738354,1061,307,736,3331,1461,0,0,0,3645939,2811,592182,784,S,6890,0,266,0,15,11,0,0,33,3332505600,38400,2,816754,41215,34388,5,0
2022-11-23 16:08:30.002310,1084,313,742,3331,1461,0,0,0,3648774,2845,598970,822,D,8868,0,296,0,23,15,0,0,38,3345555456,41821,2,818016,42446,35440,5,0
2022-11-23 16:08:30.287179,1114,317,753,3331,1461,0,0,0,3650890,2870,603226,849,D,9172,0,297,0,25,16,0,0,40,3352498176,42010,2,817760,42830,35598,5,0
2022-11-23 16:08:30.552509,1156,323,764,3331,1462,0,0,0,3652321,2887,605676,865,S,9766,0,303,0,31,20,0,0,40,3349544960,42713,2,818820,42827,35614,5,0
2022-11-23 16:08:30.803009,1202,329,786,3331,1462,0,0,0,3655868,2929,615501,909,S,10271,0,303,0,36,24,0,0,42,3353886720,42980,2,820214,43708,36233,5,0
2022-11-23 16:08:31.074615,1216,330,793,3331,1462,0,0,0,3656270,2934,616846,915,D,10348,0,311,0,37,24,0,0,42,3355070464,43321,2,820214,43708,36233,5,0
2022-11-23 16:08:31.340495,1220,331,794,3331,1462,0,0,0,3657233,2945,618455,925,S,10692,0,311,0,39,26,0,0,44,3357454336,43523,2,820853,44154,36465,5,0
2022-11-23 16:08:31.603478,1238,335,804,3331,1462,0,0,0,3660225,2981,625291,963,R,13109,0,314,0,46,30,0,0,48,3372883968,45617,2,826971,48159,40012,5,0
2022-11-23 16:08:31.851693,1263,339,812,3332,1462,0,0,0,3664408,3031,634197,1012,S,16669,0,315,0,55,36,0,0,49,3395006464,50753,2,827089,48523,40395,5,0
2022-11-23 16:08:32.121439,1280,341,815,3332,1462,0,0,0,3664900,3037,636894,1019,S,16671,0,315,0,56,37,0,0,49,3389100032,49370,2,827096,48525,40395,5,0
2022-11-23 16:08:32.362716,1291,345,820,3332,1462,0,0,0,3667046,3062,640090,1042,S,16685,0,315,0,56,37,0,0,51,3387756544,48523,2,827096,48525,40395,5,0
2022-11-23 16:08:32.638912,1309,348,823,3332,1462,0,0,0,3668293,3077,643676,1060,S,16712,0,315,0,56,37,0,0,51,3387785216,48525,2,827096,48525,40395,5,0
2022-11-23 16:08:32.881569,1319,350,827,3332,1462,0,0,0,3670065,3098,646968,1087,S,16717,0,315,0,57,37,0,0,51,3387785216,48525,2,827096,48525,40395,5,0
2022-11-23 16:08:33.139434,1341,354,835,3332,1462,0,0,0,3673093,3135,653408,1123,S,16717,0,315,0,57,38,0,0,51,3387785216,48525,2,827096,48525,40395,5,0
2022-11-23 16:08:33.401491,1347,363,842,3333,1462,0,0,0,3674685,3154,656321,1146,S,16717,0,315,0,57,38,0,0,51,3387785216,48525,2,827160,48586,40458,5,0
2022-11-23 16:08:33.671969,1357,385,850,3339,1463,0,0,0,3677547,3190,661374,1179,S,16753,0,315,0,57,38,0,0,51,3388047360,48586,2,827160,48586,40458,5,0
2022-11-23 16:08:33.915495,1367,404,855,3352,1465,0,0,0,3679857,3218,666067,1208,S,16753,0,315,0,57,38,0,0,51,3388047360,48586,2,827160,48591,40458,5,0
2022-11-23 16:08:34.198794,1386,405,860,3396,1465,0,0,0,3682233,3247,670826,1238,S,16760,0,315,0,58,38,0,0,51,3388047360,48567,1,827160,48568,40458,5,0
2022-11-23 16:08:34.459109,1390,406,863,3459,1466,0,0,0,3685053,3282,675945,1272,R,17104,0,316,0,60,38,0,0,51,3388047360,48601,1,827800,49052,40833,5,0
2022-11-23 16:08:34.725102,1410,407,867,3504,1466,0,0,0,3687627,3314,680704,1302,S,17872,0,321,0,63,38,0,0,51,3390668800,49069,2,827800,49069,40849,5,0
2022-11-23 16:08:34.969748,1421,407,870,3559,1466,0,0,0,3690447,3349,685643,1334,S,17900,0,321,0,64,39,0,0,51,3390668800,49068,2,827800,49099,40864,5,0
2022-11-23 16:08:35.264906,1445,407,875,3614,1466,0,0,0,3693069,3381,690636,1367,S,18228,0,321,0,66,39,0,0,51,3390668800,49100,2,827800,49100,40864,5,0
2022-11-23 16:08:35.519085,1458,407,878,3657,1466,0,0,0,3695823,3415,696858,1402,S,18228,0,321,0,67,40,0,0,51,3390668800,49100,1,827800,49100,40864,5,0
